,GM Anterior intra-parietal sulcus hIP1,GM Anterior intra-parietal sulcus hIP2,GM Anterior intra-parietal sulcus hIP3,GM Broca's area BA44,GM Inferior parietal lobule PF,GM Inferior parietal lobule PFcm,GM Inferior parietal lobule PFm,GM Inferior parietal lobule PFop,GM Inferior parietal lobule PFt,GM Inferior parietal lobule PGp,GM Inferior parietal lobule Pga,GM Premotor cortex BA6,GM Primary motor cortex BA4a,GM Primary motor cortex BA4p,GM Superior parietal lobule 7A,GM Superior parietal lobule 7M,GM Superior parietal lobule 7P,GM Superior parietal lobule 7PC
GM Anterior intra-parietal sulcus hIP1,1.0,0.8940455296903079,0.9727218581720766,0.8288392373839458,0.7805018173012256,0.7909314914163225,0.8254682838446131,0.7060606718182998,0.7825340569806819,0.6904271586808778,0.7906660563843073,0.688309109369138,0.6966005859723995,0.5462641681321143,0.7961445549975066,0.7662077211725666,0.8549466127243595,0.8278427369104633
GM Anterior intra-parietal sulcus hIP2,0.8940455296903079,1.0,0.9452026943536649,0.954676021017673,0.9107676576041602,0.8042698138773181,0.9021887207928322,0.7574954936281603,0.9314653011623837,0.6340752259525843,0.7407635674935032,0.7004805620848559,0.7363816736862412,0.6553944881083275,0.798733856991969,0.7416152810879696,0.893582334577688,0.8737746253670569
GM Anterior intra-parietal sulcus hIP3,0.9727218581720766,0.9452026943536649,1.0,0.913083690358037,0.8772673634213825,0.8706494416110476,0.9178573266650273,0.8045572347376005,0.8897210822029991,0.7742121769159496,0.865008135388023,0.7807310570433449,0.7979775343768419,0.6607639532396752,0.8779264663513885,0.8565201717321238,0.9402992383879102,0.9123750225267798
GM Broca's area BA44,0.8288392373839458,0.954676021017673,0.913083690358037,1.0,0.9873302348211557,0.8680257346967672,0.9702014327655784,0.8364200308092152,0.9581275310275601,0.6735722181767605,0.8505574283960132,0.8066054307233035,0.8438286526772809,0.7174451584481498,0.9066241921777718,0.804120085995265,0.9561430900475582,0.9311250673126605
GM Inferior parietal lobule PF,0.7805018173012256,0.9107676576041602,0.8772673634213825,0.9873302348211557,1.0,0.9117891126621095,0.9849010801817915,0.8953445526919348,0.967893039554306,0.6450347006212055,0.8617685577030514,0.8728077345364493,0.8922519346987744,0.7838167799077579,0.9265527942228691,0.7890608638086187,0.9520563480657883,0.9544664873947134
GM Inferior parietal lobule PFcm,0.7909314914163225,0.8042698138773181,0.8706494416110476,0.8680257346967672,0.9117891126621095,1.0,0.9582952050950929,0.9789506127702641,0.9237467534550199,0.667729061235555,0.8786473325405959,0.9837829887345004,0.9573973866757352,0.8972109569065779,0.9309655164337669,0.7923342895762545,0.9213727946918465,0.9835466975067776
GM Inferior parietal lobule PFm,0.8254682838446131,0.9021887207928322,0.9178573266650273,0.9702014327655784,0.9849010801817915,0.9582952050950929,1.0,0.9299775546082227,0.9680046191158793,0.7210486100327552,0.9137720072192986,0.9221949426521552,0.9359796425291629,0.8235347533347394,0.9633229284195545,0.8489265623008244,0.9818263234236022,0.9879097737219271
GM Inferior parietal lobule PFop,0.7060606718182998,0.7574954936281603,0.8045572347376005,0.8364200308092152,0.8953445526919348,0.9789506127702641,0.9299775546082227,1.0,0.9220342923456692,0.651147388725515,0.8362553630202291,0.9676986706288672,0.9086059913763878,0.8700592129205709,0.8757207191077578,0.771307689867126,0.8700771092725682,0.943204047467606
GM Inferior parietal lobule PFt,0.7825340569806819,0.9314653011623837,0.8897210822029991,0.9581275310275601,0.967893039554306,0.9237467534550199,0.9680046191158793,0.9220342923456692,1.0,0.6596080748725633,0.8038360777201842,0.866869949568501,0.8663305037332373,0.8258383283124803,0.8679689390701262,0.7830289209724735,0.9243156610730916,0.9515651617567309
GM Inferior parietal lobule PGp,0.6904271586808778,0.6340752259525843,0.7742121769159496,0.6735722181767605,0.6450347006212055,0.667729061235555,0.7210486100327552,0.651147388725515,0.6596080748725633,1.0,0.8712855142183884,0.6173501510046225,0.620985287401385,0.39888993126987515,0.7568833450234557,0.9766177062539539,0.8047643602263557,0.6881317555977035
GM Inferior parietal lobule Pga,0.7906660563843073,0.7407635674935032,0.865008135388023,0.8505574283960132,0.8617685577030514,0.8786473325405959,0.9137720072192986,0.8362553630202291,0.8038360777201842,0.8712855142183884,1.0,0.8649519133654097,0.87943956543593,0.6541498763273668,0.9703792144651924,0.9482521175060935,0.9536567780948635,0.8981952438274046
GM Premotor cortex BA6,0.688309109369138,0.7004805620848559,0.7807310570433449,0.8066054307233035,0.8728077345364493,0.9837829887345004,0.9221949426521552,0.9676986706288672,0.866869949568501,0.6173501510046225,0.8649519133654097,1.0,0.9737048722729137,0.9173604229810353,0.9232542242621844,0.7479066187863369,0.880379222657717,0.9555731945499945
GM Primary motor cortex BA4a,0.6966005859723995,0.7363816736862412,0.7979775343768419,0.8438286526772809,0.8922519346987744,0.9573973866757352,0.9359796425291629,0.9086059913763878,0.8663305037332373,0.620985287401385,0.87943956543593,0.9737048722729137,1.0,0.9252061139167299,0.9565842487481673,0.7555062845109477,0.9178719749845448,0.965814733431467
GM Primary motor cortex BA4p,0.5462641681321143,0.6553944881083275,0.6607639532396752,0.7174451584481498,0.7838167799077579,0.8972109569065779,0.8235347533347394,0.8700592129205709,0.8258383283124803,0.39888993126987515,0.6541498763273668,0.9173604229810353,0.9252061139167299,1.0,0.7839011700210846,0.5391885490510119,0.7585618667381465,0.8833056146748725
GM Superior parietal lobule 7A,0.7961445549975066,0.798733856991969,0.8779264663513885,0.9066241921777718,0.9265527942228691,0.9309655164337669,0.9633229284195545,0.8757207191077578,0.8679689390701262,0.7568833450234557,0.9703792144651924,0.9232542242621844,0.9565842487481673,0.7839011700210846,1.0,0.873584478653966,0.9780555835018419,0.9606485436458829
GM Superior parietal lobule 7M,0.7662077211725666,0.7416152810879696,0.8565201717321238,0.804120085995265,0.7890608638086187,0.7923342895762545,0.8489265623008244,0.771307689867126,0.7830289209724735,0.9766177062539539,0.9482521175060935,0.7479066187863369,0.7555062845109477,0.5391885490510119,0.873584478653966,1.0,0.9084478313337276,0.8171514605665092
GM Superior parietal lobule 7P,0.8549466127243595,0.893582334577688,0.9402992383879102,0.9561430900475582,0.9520563480657883,0.9213727946918465,0.9818263234236022,0.8700771092725682,0.9243156610730916,0.8047643602263557,0.9536567780948635,0.880379222657717,0.9178719749845448,0.7585618667381465,0.9780555835018419,0.9084478313337276,1.0,0.9668109007783933
GM Superior parietal lobule 7PC,0.8278427369104633,0.8737746253670569,0.9123750225267798,0.9311250673126605,0.9544664873947134,0.9835466975067776,0.9879097737219271,0.943204047467606,0.9515651617567309,0.6881317555977035,0.8981952438274046,0.9555731945499945,0.965814733431467,0.8833056146748725,0.9606485436458829,0.8171514605665092,0.9668109007783933,1.0
